trial_index,leftP,rightP,responses,left_response_proportion,right_response_proportion,perceived_left,perceived_right,prpd,chosen_high_reward_side,high_reward_proportion,reward_proportion
58,0.85,0.2,-1.0,0.8571428571428571,0.14285714285714285,0.9,0.1,0.8,True,0.8571428571428571,0.8095238095238095
59,0.85,0.2,1.0,0.8095238095238095,0.19047619047619047,0.9,0.1,0.8,False,0.8095238095238095,0.7619047619047619
60,0.85,0.2,1.0,0.7619047619047619,0.23809523809523808,0.9,0.1,0.8,False,0.7619047619047619,0.7142857142857143
61,0.85,0.2,-1.0,0.7619047619047619,0.23809523809523808,0.9,0.0,0.9,True,0.7619047619047619,0.7142857142857143
62,0.85,0.2,-1.0,0.7619047619047619,0.23809523809523808,0.9,0.0,0.9,True,0.7619047619047619,0.7619047619047619
63,0.85,0.2,-1.0,0.7619047619047619,0.23809523809523808,0.9,0.0,0.9,True,0.7619047619047619,0.7619047619047619
64,0.85,0.2,-1.0,0.7619047619047619,0.23809523809523808,1.0,0.0,1.0,True,0.7619047619047619,0.7619047619047619
65,0.85,0.2,-1.0,0.7619047619047619,0.23809523809523808,1.0,0.0,1.0,True,0.7619047619047619,0.7619047619047619
66,0.85,0.2,-1.0,0.7619047619047619,0.23809523809523808,1.0,0.0,1.0,True,0.7619047619047619,0.7142857142857143
67,0.85,0.2,-1.0,0.7619047619047619,0.23809523809523808,1.0,0.0,1.0,True,0.7619047619047619,0.7142857142857143
68,0.85,0.2,1.0,0.7619047619047619,0.23809523809523808,1.0,0.0,1.0,False,0.7619047619047619,0.7142857142857143
69,0.85,0.2,1.0,0.7619047619047619,0.23809523809523808,1.0,0.0,1.0,False,0.7619047619047619,0.6666666666666666
70,0.85,0.2,1.0,0.8095238095238095,0.19047619047619047,1.0,0.0,1.0,False,0.8095238095238095,0.7142857142857143
71,0.85,0.2,-1.0,0.8571428571428571,0.14285714285714285,1.0,0.1,0.9,True,0.8571428571428571,0.7619047619047619
72,0.85,0.2,-1.0,0.8571428571428571,0.14285714285714285,1.0,0.1,0.9,True,0.8571428571428571,0.7619047619047619
73,0.85,0.2,-1.0,0.8571428571428571,0.14285714285714285,1.0,0.1,0.9,True,0.8571428571428571,0.7142857142857143
74,0.85,0.2,-1.0,0.8571428571428571,0.14285714285714285,1.0,0.1,0.9,True,0.8571428571428571,0.7142857142857143
75,0.85,0.2,-1.0,0.8095238095238095,0.19047619047619047,1.0,0.1,0.9,True,0.8095238095238095,0.6666666666666666
76,0.85,0.2,-1.0,0.8095238095238095,0.19047619047619047,1.0,0.1,0.9,True,0.8095238095238095,0.6666666666666666
77,0.85,0.2,-1.0,0.8095238095238095,0.19047619047619047,0.9,0.1,0.8,True,0.8095238095238095,0.6666666666666666
78,0.85,0.2,-1.0,0.7619047619047619,0.23809523809523808,0.9,0.1,0.8,True,0.7619047619047619,0.6666666666666666
79,0.85,0.2,-1.0,0.8095238095238095,0.19047619047619047,0.9,0.1,0.8,True,0.8095238095238095,0.7142857142857143
80,0.85,0.2,-1.0,0.8571428571428571,0.14285714285714285,0.8,0.1,0.7000000000000001,True,0.8571428571428571,0.7619047619047619
81,0.85,0.2,-1.0,0.9047619047619048,0.09523809523809523,0.8,0.1,0.7000000000000001,True,0.9047619047619048,0.8095238095238095
82,0.85,0.2,-1.0,0.9047619047619048,0.09523809523809523,0.8,0.1,0.7000000000000001,True,0.9047619047619048,0.8095238095238095
83,0.85,0.2,-1.0,0.9047619047619048,0.09523809523809523,0.8,0.1,0.7000000000000001,True,0.9047619047619048,0.8095238095238095
84,0.85,0.2,-1.0,0.9047619047619048,0.09523809523809523,0.7,0.1,0.6,True,0.9047619047619048,0.8095238095238095
85,0.85,0.2,1.0,0.9047619047619048,0.09523809523809523,0.7,0.1,0.6,False,0.9047619047619048,0.7619047619047619
86,0.85,0.2,-1.0,0.9047619047619048,0.09523809523809523,0.7,0.2,0.49999999999999994,True,0.9047619047619048,0.7619047619047619
87,0.85,0.2,-1.0,0.9047619047619048,0.09523809523809523,0.7,0.2,0.49999999999999994,True,0.9047619047619048,0.8095238095238095
88,0.85,0.2,1.0,0.9047619047619048,0.09523809523809523,0.8,0.2,0.6000000000000001,False,0.9047619047619048,0.8095238095238095
89,0.85,0.2,-1.0,0.9047619047619048,0.09523809523809523,0.8,0.2,0.6000000000000001,True,0.9047619047619048,0.7619047619047619
90,0.85,0.2,-1.0,0.9047619047619048,0.09523809523809523,0.8,0.2,0.6000000000000001,True,0.9047619047619048,0.8095238095238095
91,0.85,0.2,-1.0,0.9047619047619048,0.09523809523809523,0.8,0.2,0.6000000000000001,True,0.9047619047619048,0.8095238095238095
92,0.85,0.2,-1.0,0.9047619047619048,0.09523809523809523,0.9,0.2,0.7,True,0.9047619047619048,0.8095238095238095
93,0.85,0.2,-1.0,0.9047619047619048,0.09523809523809523,0.9,0.2,0.7,True,0.8571428571428571,0.7619047619047619
94,0.85,0.2,-1.0,0.9047619047619048,0.09523809523809523,0.9,0.2,0.7,True,0.8095238095238095,0.7619047619047619
