trial_index,leftP,rightP,responses,left_response_proportion,right_response_proportion,perceived_left,perceived_right,prpd,relative_values,chosen_high_reward_side,high_reward_proportion,reward_proportion
60,0.85,0.2,-1.0,1.0,0.0,0.9,0.0,-0.9,-0.8926351601251573,True,1.0,0.9523809523809523
61,0.85,0.2,-1.0,1.0,0.0,0.9,0.0,-0.9,-0.9242389202440515,True,1.0,0.9047619047619048
62,0.85,0.2,-1.0,1.0,0.0,0.9,0.0,-0.9,-0.9465398429087388,True,1.0,0.8571428571428571
63,0.85,0.2,-1.0,1.0,0.0,0.9,0.0,-0.9,-0.9622762979958991,True,1.0,0.8571428571428571
64,0.85,0.2,-1.0,1.0,0.0,0.9,0.0,-0.9,-0.9733805927568658,True,1.0,0.8571428571428571
65,0.85,0.2,-1.0,1.0,0.0,0.9,0.0,-0.9,-0.981216243254737,True,1.0,0.8095238095238095
66,0.85,0.2,-1.0,1.0,0.0,0.9,0.0,-0.9,-0.9867454029219145,True,0.9523809523809523,0.8095238095238095
67,0.85,0.2,-1.0,1.0,0.0,1.0,0.0,-1.0,-0.9906470070878288,True,0.9047619047619048,0.8095238095238095
68,0.85,0.2,-1.0,1.0,0.0,1.0,0.0,-1.0,-0.9934001406531054,True,0.8571428571428571,0.7619047619047619
69,0.85,0.2,-1.0,1.0,0.0,1.0,0.0,-1.0,-0.9953428657748571,True,0.8095238095238095,0.7142857142857143
70,0.85,0.2,-1.0,1.0,0.0,1.0,0.0,-1.0,-0.996713733118994,True,0.7619047619047619,0.7142857142857143
71,0.85,0.2,-1.0,1.0,0.0,1.0,0.0,-1.0,-0.9976810739199029,True,0.7142857142857143,0.7142857142857143
72,0.85,0.2,-1.0,1.0,0.0,0.9,0.0,-0.9,-0.7040051053991001,True,0.6666666666666666,0.6666666666666666
73,0.85,0.2,-1.0,1.0,0.0,0.8,0.0,-0.8,-0.4967751733333856,True,0.6190476190476191,0.6190476190476191
74,0.85,0.2,-1.0,1.0,0.0,0.8,0.0,-0.8,-0.6449037108171946,True,0.5714285714285714,0.5714285714285714
75,0.85,0.2,-1.0,1.0,0.0,0.8,0.0,-0.8,-0.7494293446795,True,0.5238095238095238,0.5238095238095238
76,0.2,0.75,-1.0,1.0,0.0,0.7,0.0,-0.7,-0.5288283987560413,False,0.47619047619047616,0.47619047619047616
77,0.2,0.75,-1.0,0.9523809523809523,0.047619047619047616,0.7,0.0,-0.7,-0.6675217948241379,False,0.47619047619047616,0.47619047619047616
78,0.2,0.75,-1.0,0.9047619047619048,0.09523809523809523,0.6,0.0,-0.6,-0.4710310376791731,False,0.47619047619047616,0.47619047619047616
79,0.2,0.75,-1.0,0.9047619047619048,0.09523809523809523,0.5,0.0,-0.5,-0.33237901770019584,False,0.42857142857142855,0.42857142857142855
80,0.2,0.75,-1.0,0.8571428571428571,0.14285714285714285,0.4,0.0,-0.4,-0.23454040725569758,False,0.42857142857142855,0.38095238095238093
81,0.2,0.75,-1.0,0.8095238095238095,0.19047619047619047,0.4,0.0,-0.4,-0.4598599939844418,False,0.42857142857142855,0.3333333333333333
82,0.2,0.75,-1.0,0.8095238095238095,0.19047619047619047,0.5,0.0,-0.5,-0.6188548306612637,False,0.38095238095238093,0.3333333333333333
83,0.2,0.75,-1.0,0.8095238095238095,0.19047619047619047,0.5,0.0,-0.5,-0.4366896112147787,False,0.3333333333333333,0.3333333333333333
84,0.2,0.75,-1.0,0.8095238095238095,0.19047619047619047,0.4,0.0,-0.4,-0.3081462842249265,False,0.2857142857142857,0.3333333333333333
85,0.2,0.75,-1.0,0.8095238095238095,0.19047619047619047,0.3,0.0,-0.3,-0.21744078641460413,False,0.23809523809523808,0.2857142857142857
86,0.2,0.75,-1.0,0.7619047619047619,0.23809523809523808,0.3,0.0,-0.3,-0.153435228711341,False,0.23809523809523808,0.2857142857142857
87,0.2,0.75,1.0,0.7142857142857143,0.2857142857142857,0.2,0.0,-0.2,-0.10827025507906426,True,0.2857142857142857,0.2857142857142857
88,0.2,0.75,1.0,0.6666666666666666,0.3333333333333333,0.2,0.3333333333333333,0.1333333333333333,0.18608830919332967,True,0.3333333333333333,0.3333333333333333
