trial_index,pfc_mag_standardized,dms_mag_standardized,relative_value_standardized,pfc_mag_filtered,dms_mag_filtered,relative_value_filtered,pfc_phase,dms_phase,relative_value_phase
64,-0.9202114449111619,1.0676466762009627,0.27062290141452977,-0.8878821853539556,-0.4329250106029542,0.2280848598149512,3.058984910732865,2.3441031974083306,1.4384598311183026
65,-0.9202114449111619,0.6409321303543252,0.207860149204039,-0.88703352518175,-0.43478043396221777,0.17652002544316003,3.0657779790140487,2.389649861732847,1.4676608923536711
66,-0.9202114449111619,0.6409321303543252,0.14516015974575897,-0.8861238439668991,-0.4355166190135761,0.12513005502657856,3.081284864505292,2.4052856586365725,1.4977692967534497
67,-0.9202114449111619,-1.0659260530322263,0.08895978894464282,-0.8851494578131115,-0.4351852674297405,0.07398585277357599,3.0882667431010535,2.4512359441314104,1.5272801965808052
68,-0.9202114449111619,-0.6392115071855886,0.032815618514327426,-0.8841066593335642,-0.43383891742932934,0.023158176176908518,3.1037125929278067,2.4649809340324786,1.5571769959717054
69,-0.7888661566590939,-0.21249696133895057,-0.01703143833470952,-0.8829917287818544,-0.4315308274648845,-0.027282549213656956,3.110882613074367,2.5112693425624064,1.5869797492728188
70,-0.3948302919028899,-1.0659260530322263,-0.06682865446159361,-0.8818009457930932,-0.42831486067093805,-0.07726641542019444,3.1262741367174907,2.523044695561549,1.6166707105877118
71,-0.7888661566590939,-1.0659260530322263,-0.11657607970704782,-0.8805306017527423,-0.42424536979886895,-0.1267242174874016,3.1336307437691633,2.569596567431341,1.646747216477273
72,-0.9202114449111619,-0.6392115071855883,-0.16627376386195353,-0.8791770127954315,-0.4193770823938691,-0.17558763817418543,-3.1342120876121644,2.5793002846311524,1.6762369425594659
73,-0.9202114449111619,-0.21249696133895057,-0.20969950409851376,-0.8777365334014761,-0.413764986037465,-0.22378943130384407,-3.1266713819726784,2.6260296738286866,1.7065689362641059
