,mouse,date,str_name,pfc_name,Stimulus_related_firing_P_value_str,Movement_related_firing_P_value_str,Reward_related_firing_P_value_str,BG_firing_CC_with_PPD_str,BG_firing_CC_with_PPD_P_value_str,Response_magnitude_CC_with_PPD_str,Response_magnitude_CC_with_PPD_P_value_str,Stimulus_related_firing_P_value_pfc,Movement_related_firing_P_value_pfc,Reward_related_firing_P_value_pfc,BG_firing_CC_with_PPD_pfc,BG_firing_CC_with_PPD_P_value_pfc,Response_magnitude_CC_with_PPD_pfc,Response_magnitude_CC_with_PPD_P_value_pfc
64,AKED02,20210804,str_6,pfc_29,0.012405375327629947,1.878344160741692e-14,1.7791939487743502e-07,0.013647689824279087,0.7735380832245481,-0.09316853468423827,0.049002236882804154,0.008198204986070021,2.554965453058784e-09,0.0012332945201741898,0.15616396894261547,0.0009237392319816562,0.33021903184256135,7.835359557991213e-13
65,AKED04,20210802,str_11,pfc_51,0.26594735319328877,0.18930781728577173,0.00819888129635639,0.4918096722210186,4.693477916943815e-26,0.6146498359673765,1.9334050097210742e-43,0.023057679845688822,0.0010422943010742292,0.15430175664190038,-0.008704022210533862,0.8613727522168502,0.13007046992839605,0.008775742590663226
66,AKED04,20210802,str_14,pfc_18,0.03849753028460921,0.17013215465241371,0.8306844667059602,-0.16143625621161994,0.001113296590419372,-0.1880871987119938,0.00014036838090886005,0.07285152640502127,0.0003778623179229457,0.18132199595475007,-0.1322710949063292,0.00768973285717712,-0.1774238906686681,0.00033315037429093597
67,AKED04,20210802,str_18,pfc_56,3.1267288707541676e-05,1.0346638276344748e-15,0.10783753419497222,0.012655751250787764,0.7995611912380342,0.15892173042488067,0.0013330465946752123,0.15521351873293088,0.0095069503377501,0.00113910229249288,0.027253367488087203,0.5844681627128596,0.042945573619310395,0.38869331502852045
68,AKED04,20210802,str_19,pfc_22,0.49454729656794805,0.0015621654898891483,1.1476867646392006e-06,-0.09101634018999649,0.06727885310565636,-0.14187028921607694,0.0042264943779019605,0.8721820832983435,0.6633675441785114,0.21875754925564717,-0.424162407631205,4.0683972461795762e-19,-0.45006025804440136,1.362718135368821e-21
69,AKED04,20210802,str_2,pfc_5,0.04458528905362561,0.16873535126795036,0.7549724196277835,0.044858156502042786,0.36789887120354636,0.09265432328274203,0.06247942362877522,0.09446741573560569,0.03848807404882909,1.8231879308998673e-09,0.07343824784273034,0.14012088603774908,0.11593147516945601,0.019609400621757193
70,AKED04,20210802,str_22,pfc_14,0.5742495418201139,0.7954106376920369,0.01760180509693719,-0.0993193373020699,0.04576800340047532,-0.10406945927130952,0.03629812655093949,8.30137976213026e-06,0.005137882212518739,0.021572744809848044,-0.01786576715812447,0.7199998715374432,0.08614032730020231,0.08338007936432049
71,AKED04,20210802,str_24,pfc_31,0.05732186970978848,0.9713302809834534,0.20743864748901197,0.06157993540424199,0.21622974496105196,0.015933158866796467,0.7492125400274419,0.05214318696121976,6.882573466495798e-06,0.0467137832741709,0.13723483940976228,0.005668563100535179,0.18731188627654777,0.000149716630952649
72,AKED04,20210802,str_27,pfc_40,0.6307828487916836,0.6630985384050989,0.7848786226331688,-0.08460153424769706,0.08906318305154459,-0.04441027341967793,0.37270549869123104,0.025666467350238236,0.0005656976076534938,0.41910065738671154,0.24001118192228932,1.0248047669528287e-06,0.3209200970014544,3.7360807697413275e-11
73,AKED04,20210802,str_31,pfc_32,0.7714917438695247,0.3799021799409822,0.9539962035310556,-0.6363483976720024,2.3327031095855986e-47,-0.6641218399036795,7.41053090214441e-53,4.1259433629089456e-05,4.243843628021408e-06,0.015938629230831572,-0.20198155254204608,4.230546484414354e-05,-0.23048025284469587,2.769096886715556e-06
74,AKED04,20210802,str_31,pfc_62,0.7714917438695247,0.3799021799409822,0.9539962035310556,-0.6363483976720024,2.3327031095855986e-47,-0.6641218399036795,7.41053090214441e-53,0.02125061703846907,0.017620923789286,0.06510002170844582,0.5809744783195909,6.274745421970616e-38,0.6659020272510477,3.1420740057471273e-53
75,AKED04,20210802,str_34,pfc_3,1.1011918170091058e-05,7.428416793414502e-07,0.0037157972547704338,-0.07149031570488915,0.1509721492438162,-0.09588870851473116,0.053829784991633364,0.45941484259830523,0.07661467813787085,0.6711570239674952,0.12805757722821443,0.009886523334536209,0.17594342608717556,0.0003742010758662089
76,AKED04,20210802,str_37,pfc_26,0.3535488383797474,0.31086811551179816,0.24817082594994677,-0.26442595951200476,6.609986582329026e-08,-0.32010444280238326,4.2117922112798634e-11,0.29420434208936075,0.0005207293355144329,0.4147173840290739,-0.06982025240126209,0.1607735799215877,0.04072887409790631,0.4136663821064708
77,AKED04,20210802,str_39,pfc_53,0.9286570054041854,0.4445551232074263,0.503624095695855,0.6317484097775159,1.677400134110892e-46,0.7054778218310281,3.116888221147969e-62,0.00898641268830503,2.974013403084805e-11,4.0901078505873826e-05,-0.16652532937952966,0.0007670463844296286,-0.052089246396585825,0.2956783648489886
