,mouse,date,str_name,pfc_name,Stimulus_related_firing_P_value_str,Movement_related_firing_P_value_str,Reward_related_firing_P_value_str,BG_firing_CC_with_PPD_str,BG_firing_CC_with_PPD_P_value_str,Response_magnitude_CC_with_PPD_str,Response_magnitude_CC_with_PPD_P_value_str,Stimulus_related_firing_P_value_pfc,Movement_related_firing_P_value_pfc,Reward_related_firing_P_value_pfc,BG_firing_CC_with_PPD_pfc,BG_firing_CC_with_PPD_P_value_pfc,Response_magnitude_CC_with_PPD_pfc,Response_magnitude_CC_with_PPD_P_value_pfc
24,AKED04,20210805,str_2,pfc_9,0.6271809705919431,0.4024820537393574,0.08895871353794294,-0.1633301925856052,0.00025927834456747963,-0.20592537386421944,3.759443007807065e-06,0.09987752027481189,0.003733131391101765,0.05966509462438418,-0.2578107114954097,5.67709920739307e-09,-0.3445658175828229,2.8429292759368906e-15
25,AKED05,20210715,str_15,pfc_34,0.11047446931069282,0.0001414303578687517,3.0208813065027844e-15,-0.13697762807444896,0.004526642739302562,-0.21538018386147517,6.935462519664867e-06,0.01340427675340445,5.67080673660107e-18,0.8863489435789875,0.17395844003009814,0.00029923395029460704,0.3166173142799623,2.023406636983978e-11
26,AKED05,20210715,str_8,pfc_9,0.9692680842598164,5.777477876688878e-09,5.245519970270553e-05,-0.2203541424056522,4.182963729392689e-06,-0.18746850876276472,9.552663072655668e-05,0.9831481233174922,6.447068603892767e-07,0.96110478704693,-0.4898254688441057,3.278834719194696e-27,-0.47928544079508567,5.75254946680818e-26
27,AKED05,20210725,str_20,pfc_34,0.012661195441017183,4.844756650678847e-06,1.1285422355600214e-08,0.19017181656037765,0.00047507639139586353,0.23137405853928034,1.9481342021501953e-05,0.6872401006465532,0.7308471275044267,0.02138723847316614,0.23038726996133785,2.1183933838162004e-05,0.34539130920349326,8.618950604119612e-11
28,AKED05,20210725,str_32,pfc_49,1.0,0.43764483837768986,0.7599720341347126,0.22491394058929481,3.34933839161207e-05,0.29407261763524034,4.356073767079068e-08,0.09354377569163952,0.9378218872769012,0.000779614096402712,0.23718455248957693,1.1806523429942287e-05,0.2455018780763992,5.6374063345183595e-06
29,AKED05,20210725,str_33,pfc_5,0.43671721407246467,9.720424460851184e-05,2.0118272704754468e-20,-0.17843427067998407,0.0010562398715864994,-0.21388954983534053,8.147818875547441e-05,0.0002803438379157414,0.1202281072475695,0.006070823350619161,0.22722280888381927,2.7645590724409733e-05,0.23935371797823995,9.76115254712626e-06
30,AKED05,20210725,str_44,pfc_65,4.8162820682474595e-22,1.442629074424545e-26,1.4815928406428414e-09,-0.27234486163148885,4.3155246919147617e-07,-0.37698810611131905,1.0139006460643366e-12,0.5946578961410505,7.070003956443886e-06,1.8852542572473968e-05,-0.15693123650822277,0.004038921540185559,-0.1969998457999482,0.0002919202670749641
31,AKED05,20210725,str_45,pfc_41,0.6562318183397761,1.5536785753829322e-19,1.0226661273934085e-06,-0.1934622611580772,0.00037647311942728355,-0.016337848062049857,0.7660958474655061,1.0,9.329535208856055e-06,0.0026030986773250627,0.1865255492466647,0.0006120539779772948,0.22615883364132433,3.0208890514735407e-05
32,AKED05,20210725,str_59,pfc_18,0.1926996779474638,0.341281098565845,0.05937913724690131,-0.18836899266780185,0.0005387861386113825,-0.24156802179806086,8.023371119184646e-06,0.00012826592916009394,0.24760401153624256,1.22646187934505e-15,0.27205844984512534,4.44221534303113e-07,0.24841720310088572,4.32331132971655e-06
33,AKED05,20210725,str_68,pfc_62,0.5145042174802471,0.20245905153648658,0.00026846541640276813,0.1684660103079664,0.0020056397144014196,0.2438143156198897,6.563709709090543e-06,0.0008668280530145586,0.0028455878961903287,3.1256971246542746e-05,-0.17120484710886658,0.0016873441760620013,-0.2250350973796561,3.3159471677730144e-05
34,AKED05,20210727,str_17,pfc_32,,5.595019936724673e-31,5.53833013440229e-14,0.23695686008978809,5.490000451040724e-09,0.19543383007564447,1.690636168319065e-06,0.1735008198555421,0.0007173440265159985,0.15910737679476272,0.24123527394591981,2.848849946833556e-09,0.33728711303171166,3.440706758841174e-17
35,AKED05,20210727,str_22,pfc_25,0.00048224766333419095,0.01331753897164139,3.827749223650967e-15,0.22931294122592166,1.7182779733321538e-08,0.2778784885819301,6.114604995262194e-12,0.4987334629930036,0.0003914817240868181,0.0012998635131638522,-0.29493389863803726,2.512925090352586e-13,-0.3295592055821964,1.940834441105937e-16
