,mouse,date,str_name,pfc_name,Stimulus_related_firing_P_value_str,Movement_related_firing_P_value_str,Reward_related_firing_P_value_str,BG_firing_CC_with_PPD_str,BG_firing_CC_with_PPD_P_value_str,Response_magnitude_CC_with_PPD_str,Response_magnitude_CC_with_PPD_P_value_str,Stimulus_related_firing_P_value_pfc,Movement_related_firing_P_value_pfc,Reward_related_firing_P_value_pfc,BG_firing_CC_with_PPD_pfc,BG_firing_CC_with_PPD_P_value_pfc,Response_magnitude_CC_with_PPD_pfc,Response_magnitude_CC_with_PPD_P_value_pfc,peak,peak_width,spike_count_in_peak
10,AKED01,20210801,str_9,pfc_29,0.14668033514091006,0.0011708291515889083,0.6741169703061481,0.25550980876704577,1.5017459484753892e-05,0.35339203667699054,1.1694838982740326e-09,0.4624185839920899,0.06827559876020432,0.14738520896942953,0.2725235410391276,3.697849553571507e-06,0.36005169397911474,5.390743058729926e-10,22,0.003,113.0
11,AKED02,20210730,str_13,pfc_67,0.5654417178607645,0.8129591173408021,0.21643212125307354,0.315604812956302,1.0124721580562544e-09,0.24630436305247283,2.3950902143486146e-06,0.27875380225767177,0.1252532421380398,0.1734600991880456,0.13477366858504342,0.01068681269515308,0.1488580167191531,0.004766315701690976,23,0.0015,28.0
12,AKED02,20210730,str_21,pfc_59,0.5145042174802477,2.287559639513406e-15,1.0793576130097604e-05,0.28347790308871706,4.835816177549001e-08,0.5052540574274323,1.3599243482354012e-24,0.10265670235544366,2.1282740236129284e-10,0.0031015730391350973,0.13747251069197897,0.00920402296582505,0.14883695479219147,0.0047723219947182465,23,0.0015,44.0
13,AKED02,20210730,str_50,pfc_50,1.0,8.418467296352094e-22,2.6882500248262727e-09,-0.2632638352727,4.345116226273471e-07,-0.45655055000117173,7.802056940936514e-20,0.15799236969750052,0.04391104960970066,0.8534727861276885,0.215681352101588,3.86934815689903e-05,0.2460944129030429,2.4443933134861986e-06,25,0.002,74.0
14,AKED02,20210801,str_1,pfc_21,0.1592289818410998,0.3175583641101709,0.053863408958331686,0.1920152862487278,0.00025772760888751367,0.2461430834030508,2.4328782512449226e-06,0.6303322245773106,0.0012316046009804653,0.0011670877659454395,0.33971095570614523,4.042004127037588e-11,0.5304003955830648,2.2966627264776766e-27,25,0.0015,23.0
15,AKED02,20210801,str_44,pfc_61,0.7400969989055364,0.0670316127104696,0.07999656147178377,-0.17930292341799345,0.000653526698053035,-0.1940008219002124,0.00022164527031853727,0.02969682822093291,9.118626351572714e-06,0.15024581294249229,-0.23046817585812096,1.058568355176598e-05,-0.3175368406468072,7.902597547735015e-10,25,0.002,53.0
16,AKED02,20210801,str_5,pfc_32,0.48757719737277994,0.7939151903375128,0.8990240038246322,0.18309651546225286,0.0004982211817711279,0.24885894447444007,1.8664291095037793e-06,0.31893174464142715,0.004685926914222284,0.011255760608769491,-0.4755446994358863,1.3374972995870995e-21,-0.5059711702488177,1.1418277713298307e-24,24,0.0015,47.0
17,AKED02,20210801,str_59,pfc_29,0.038939402148647544,0.17267808208613045,0.458091837590195,-0.19462663501518285,0.0002112896807992417,-0.24963865505958777,1.7286932795651227e-06,8.821275138499853e-05,0.3466659387675264,7.448567587163229e-08,0.2592085047612681,6.607909706304404e-07,0.35342983512767523,5.683775515473383e-12,25,0.003,138.0
18,AKED02,20210801,str_61,pfc_41,0.29971400759736055,2.208792481331604e-05,0.2634161086020069,0.0881890543675509,0.09570801678665808,0.13621575458101026,0.009870103721712327,0.03211710949344595,0.02487790930447343,0.08186213177171098,0.12758195496921199,0.01571793793026995,0.17536545948399676,0.0008612342764524671,25,0.002,63.0
19,AKED02,20210801,str_64,pfc_41,0.1405593076229671,0.056861289198565805,1.2342838939027294e-21,-0.13990341086302918,0.008028032897233401,-0.13626209469341505,0.009844803755773901,0.03211710949344595,0.02487790930447343,0.08186213177171098,0.12758195496921199,0.01571793793026995,0.17536545948399676,0.0008612342764524671,22,0.0025,70.0
