session,cell,background_firing_pearson_r,background_firing_p_values,response_firing_pearson_r,response_firing_p_values
AKED0620210804,pfc_6,0.21169236934031474,0.3569486310581996,-0.008876484428554484,0.9695386505582971
AKED0620210804,pfc_43,0.7146559649791657,0.00027248908379704434,0.6704238396557578,0.0008816813429425266
AKED0620210804,pfc_83,0.19913731143885008,0.38682040384189414,0.25547563944649165,0.2636850261438264
AKED0620210804,pfc_42,-0.2568562294396231,0.2610235903792562,-0.20036020212984168,0.38385089781757487
AKED0620210804,pfc_53,0.3508768875570368,0.11887243050722542,0.5314735243081029,0.013159332180101948
AKED0620210804,pfc_36,-0.4608568041138823,0.035501879853831304,-0.5610059012283837,0.008149383280674334
AKED0620210804,pfc_60,-0.06281826526842774,0.7867685348907973,0.352283435850169,0.11729955488371985
AKED0620210804,pfc_2,0.07348091453442439,0.7515920121819882,0.5989078180085124,0.004121070406659211
AKED0620210804,pfc_40,0.30949363197506796,0.17218020910466925,0.43268124535343094,0.05010383409937723
AKED0620210804,pfc_85,-0.3650922836175435,0.10366021565247056,-0.26306391497042664,0.2492681919851806
AKED0620210804,pfc_56,0.23293089247198334,0.30956902765556144,0.1921056305716123,0.40414321435921846
AKED0620210804,pfc_51,-0.1821200068239222,0.42945979763444075,-0.43678863696099374,0.04772759790073232
AKED0620210804,pfc_16,-0.5061486877906999,0.01922440075145408,-0.5260676678511809,0.014301986168087776
AKED0620210804,pfc_29,0.6613628546780863,0.001095626193481849,0.5356977381892241,0.01231896569157016
AKED0620210804,pfc_59,0.6493962869509117,0.0014442821717454198,0.79508850263372,1.654900288449596e-05
AKED0620210804,pfc_19,-0.4670695843265108,0.032784822916889354,-0.6709328432050953,0.000870799832259912
AKED0620210804,pfc_77,0.6012796970229018,0.003938008293510331,0.5074586332642678,0.018863812455660822
AKED0620210804,dms_56,-0.24708901052129742,0.2802204995805909,-0.31242178205119914,0.1679457888801525
AKED0620210804,dms_55,0.5881452521231235,0.005043094480230436,0.6792029519973594,0.0007093358130993515
AKED0620210804,dms_60,-0.01568865984445274,0.9461868851108457,0.5571872516641517,0.008691250696205742
AKED0620210804,dms_11,0.1523947841834237,0.5095961113079194,0.5701723389601577,0.006961009930373169
AKED0620210804,dms_0,-0.2524178251219702,0.2696407172926056,-0.1800902653941202,0.43470711290026204
AKED0620210804,dms_16,0.05380673345002168,0.8168158826923496,0.024497243956621277,0.9160570466530612
AKED0620210804,dms_6,-0.11665361437832081,0.6145668448933945,0.06792482047939578,0.7698673805138352
AKED0620210804,dms_22,-0.5237099418786488,0.014824856211501324,-0.20518119034017993,0.37226978522885024
AKED0620210804,dms_86,-0.07592986703785343,0.7435766314262107,0.1873200508774064,0.4161721119057809
AKED0620210804,dms_91,0.2874655501658023,0.20639386407451327,0.8200033297915174,5.359669460411332e-06
AKED0620210804,dms_49,-0.4720382552734718,0.030731749584836595,-0.2637182917195343,0.24804915032460426
AKED0620210804,dms_74,-0.42766045676484565,0.05313093486864053,0.12110258212744325,0.6010361831199824
AKED0620210804,dms_42,0.6197548019110745,0.002730554794648166,0.816870945916634,6.2324684630861006e-06
AKED0620210804,dms_32,-0.11446852341967856,0.6212571146735125,0.03781807849730191,0.8707154058702375
AKED0620210804,dms_78,-0.43369628798651794,0.049508314565394826,-0.40733121610533085,0.06684090829705171
AKED0620210804,dms_81,-0.4271756629207048,0.053430483593713066,-0.08480671561239733,0.714741568850631
AKED0620210804,dms_52,0.6055997881836591,0.003621968262043002,0.5502169416920053,0.009756412651360413
AKED0620210804,dms_26,-0.10453479618057913,0.6520295091018247,-0.007570131005234282,0.974020070221999
AKED0620210804,dms_51,0.3620690099413346,0.10676972933333177,0.16166914524662154,0.4838505601772276
AKED0620210804,dms_53,0.05121377372567397,0.8255096124170037,0.361143618046932,0.10773494052581532
AKED0620210804,dms_18,0.17074030403980034,0.4593122955550914,-0.06918141544078434,0.7657234665615912
AKED0620210804,dms_37,0.03692744729379982,0.8737363531413053,0.1699207869238665,0.46150247124148885
AKED0620210804,dms_67,0.3323470256441984,0.1410298859022977,0.11001646227586055,0.6349772637059955
AKED0620210804,dms_54,0.44228184582938196,0.04468663434190696,0.4374032827287232,0.04737962013774624
AKED0620210804,dms_43,-0.23912458946557003,0.29650873325128013,0.40809516614702895,0.06628171298364754
AKED0620210804,dms_36,-0.21529741127206528,0.348625246193454,0.13385909084756784,0.5629459295893353
AKED0620210804,dms_44,-0.4536145183385844,0.03888829769384087,-0.611369885524765,0.003233081980463503
AKED0620210804,dms_64,0.022807468736058704,0.9218295929673735,-0.018391044567254603,0.9369339818363623
AKED0620210804,dms_35,0.29541957835039856,0.19355499156637607,0.22571630658367028,0.32521451309903787
AKED0620210804,dms_7,0.009051827052793933,0.9689372055339777,0.3544004074088899,0.11496060471798153
AKED0620210804,dms_33,-0.1619252535222478,0.4831489370936959,-0.24886079563728628,0.2766744834814974
