session,cell,background_firing_pearson_r,background_firing_p_values,response_firing_pearson_r,response_firing_p_values
AKED0620210804,pfc_39,-0.15492743843082063,0.003714541979584936,-0.12179062668275083,0.02287288494400249
AKED0620210804,pfc_23,-0.012301951091122705,0.8188661310719997,0.0533378755843584,0.32043402158950485
AKED0620210804,pfc_26,0.0976516178334538,0.06844057223119308,0.05911834519430027,0.2707125103832386
AKED0620210804,pfc_64,-0.010289472343520291,0.848103593748524,-0.03585692187697942,0.5043416221607775
AKED0620210804,pfc_0,-0.08375619528482323,0.11832880500254947,-0.13459243032761167,0.01184141782364489
AKED0620210804,pfc_30,-0.07942841418233845,0.13864326160256898,-0.02204259945572776,0.6815402139491221
AKED0620210804,pfc_12,0.02664084544284465,0.6198982207815131,-0.02110782925431319,0.6943520542431112
AKED0620210804,pfc_46,0.04418386135760673,0.4105857322361952,0.14900227182471723,0.005283969972060897
AKED0620210804,pfc_27,0.011982226163761713,0.8234955035387889,-0.05891123556823185,0.27239760458232115
AKED0620210804,pfc_80,-0.06962615008736893,0.19441359755537496,-0.006919081009382628,0.8975183468155588
AKED0620210804,pfc_50,0.06945009617759816,0.1955467801250278,-0.01140365533893286,0.8318882265944901
AKED0620210804,pfc_25,-0.0638756062738509,0.2339561768124765,-0.08927127988249466,0.09589919716581331
AKED0620210804,pfc_48,-0.0681960886996131,0.20375800029818872,0.03386935292192855,0.5282741631200347
AKED0620210804,pfc_55,0.015665051983134688,0.7705807593902725,0.060203788494030415,0.26199752828687856
AKED0620210804,pfc_14,-0.14024025819949978,0.008703598329540341,-0.1363289907141827,0.010784255883427577
AKED0620210804,pfc_67,-0.06912439735116886,0.19765585749139836,0.012217146211696513,0.8200934354247967
AKED0620210804,pfc_63,-0.001977461138832724,0.9706368783677676,-0.042144028329251834,0.43254760621487376
AKED0620210804,pfc_13,-0.045929123415936086,0.3923296919239612,-0.02195724091953716,0.6827064086595015
AKED0620210804,pfc_22,-0.06721932172234232,0.21032485971321707,0.13459105460031656,0.011842290366871734
AKED0620210804,pfc_62,0.07534828651437868,0.160149315752666,0.015304527423307469,0.7757183636688706
AKED0620210804,pfc_47,0.12883042478310075,0.016033153347439346,0.10857347836241547,0.042658414321643724
AKED0620210804,pfc_20,0.08432162727073615,0.11585592960720591,0.1941940017069371,0.0002626173835457301
AKED0620210804,pfc_7,-0.04844713700496245,0.36687087665277135,-0.04018084250490449,0.45430978127745875
