session,Stimulus_related_firing_P_value,Movement_related_firing_P_value,Reward_related_firing_P_value
AKED0120210721,0.12330895817679033,0.4482191277392098,0.01166969900509334
AKED0120210721,0.00646643436402787,6.691020788498613e-08,0.3128815095748617
AKED0120210721,,0.7067975006344696,0.8564544805160822
AKED0120210721,0.11634490345252335,0.0024642346821619507,0.15489301411710998
AKED0120210721,0.0002136915023850758,0.2244689384552545,0.716225649243172
AKED0120210721,2.639565657069827e-10,9.281537067962084e-05,0.5551729748083453
AKED0120210721,0.04004859948915995,9.534884002621541e-05,0.04235377401714394
AKED0120210721,0.0487577613371241,0.3095345276036593,0.07428946266697671
AKED0120210721,0.31893174464142715,0.11966420516118814,0.757414690368251
AKED0120210721,8.400882532220203e-05,0.00016171003094172718,0.05474857806897319
AKED0120210721,0.44332615068865167,0.7142583359708607,0.799469170158829
AKED0120210721,2.5960491703157734e-10,2.3479445050903593e-06,0.00048103054820340684
AKED0120210721,0.7703884865014627,0.1460730726713947,0.6881089651230747
AKED0120210721,6.667454108843973e-14,1.8646097126965217e-05,0.03557423065599094
AKED0120210721,0.8546388095387765,0.024913024899632714,0.0002066239116551922
AKED0120210721,0.5249834620211924,0.9157458032786102,0.7144308210722706
AKED0120210721,0.9169271265240417,0.13615447170936767,0.1427516308622927
AKED0120210721,0.17244089975926435,0.48356457127285535,0.024876493748347054
AKED0120210721,0.76414180476316,0.9256581768700872,0.7825981615544854
AKED0120210721,0.021775441203810808,0.03640267502293995,0.3325537858210117
AKED0120210721,0.0011543584911114801,0.06589476982924376,0.8741244478449663
AKED0120210721,0.3189317446414266,0.6041066855068509,0.2230135815690788
AKED0120210721,0.061765072859752995,0.31724469646331555,0.16929414408214694
AKED0120210721,0.04319637839501246,0.19286421087564354,0.5384554309374379
AKED0120210721,0.35626637888834223,0.1824729497020081,0.5723283330765936
AKED0120210721,0.8481356098072799,0.19014882330736982,0.5740206826381188
AKED0120210721,0.8435097099082345,0.00023332116176921143,0.42969555373017654
AKED0120210721,0.1321348499589321,0.015792119851588522,0.5276172940191293
AKED0120210721,7.125877336594542e-17,1.362736466212239e-19,0.15243941961828944
AKED0120210721,0.13994675750012575,0.5607238436405333,0.3365624438503704
AKED0120210721,0.18777917119053222,0.22102778303426662,0.8484235429712514
AKED0120210721,0.7400969989055364,0.8455730281903344,0.31649104750914003
AKED0120210721,0.16880126702079024,0.8721803591297096,0.5465086307517844
AKED0120210721,0.5654417178607649,0.44703971765628914,0.7908024769916835
AKED0120210721,0.35937673787727586,0.32097064795333585,0.4623790292750821
AKED0120210721,0.41603948284500325,0.6428425980361229,0.6784229028439465
AKED0120210721,0.9999999999999997,0.9739626168057743,0.1972008489224265
AKED0120210721,0.8182443890107346,0.42007961465882393,0.07413090861889543
AKED0120210721,0.1420462236476585,0.005396744580600015,0.24209693766255702
AKED0120210721,0.15799236969750086,0.13477009494344994,0.49933198206290264
AKED0120210721,0.41279547141414974,0.7206003818116273,0.7598802896853162
AKED0120210721,0.001048501687071556,0.0015550280545921166,0.07693119055893845
AKED0120210721,0.08037366877037236,0.37540036802382415,0.7185423568557425
AKED0120210721,0.2865479955467044,0.13819751972212346,0.7123828239013499
AKED0120210721,0.020412851667111986,0.203382987157797,0.9811914841573834
AKED0120210721,0.7400969989055366,0.5112648522127708,0.6300274134593871
AKED0120210721,1.720738340272461e-08,4.690693039470936e-18,0.00013894089719078217
AKED0120210721,0.001950452398689601,0.7793017394905299,0.0038386923350793288
AKED0120210721,5.7849167026090625e-05,0.0006206538211204916,0.0005771050305589592
AKED0120210721,0.12031168939819448,0.002234680961397386,0.004141039146944805
AKED0120210721,5.417467959733134e-07,0.39870727553582885,0.9762179706404299
AKED0120210721,0.05648938921233217,0.015533784791345798,0.0001289299949670083
AKED0120210721,2.388070409806471e-14,1.410638007678406e-07,0.8948254681504845
AKED0120210721,1.5689178607199053e-06,2.12923345573483e-07,0.07906226455895848
AKED0120210721,0.11126012611616454,0.6595346246351741,2.1703011218932097e-06
AKED0120210721,0.5145042174802471,0.9069861972027141,0.03508872066604067
AKED0120210721,0.013483371585220335,0.00034826460118330733,0.8724303776255243
AKED0120210721,0.05853089295326213,2.1295895826432305e-09,0.06156706033011576
AKED0120210721,0.07004606514921485,0.00010982605427791722,0.3268568283914244
AKED0120210721,0.0005873271932481387,0.9330948284167172,0.25414998313946136
AKED0120210721,0.007022549038077023,3.8529546302037734e-06,0.330052055282978
AKED0120210721,0.03173471124093299,0.0003083430810954657,0.512010529008331
AKED0120210721,5.1379268589021396e-05,6.549470381764879e-06,0.35113929950719647
AKED0120210721,4.9360923742512437e-17,5.315428688976451e-24,0.03568428349053699
AKED0120210722,0.5004127737000229,0.6468242903274105,0.5668819289651539
AKED0120210722,0.0004948727504904166,0.0005533528538458402,0.023600214707971877
AKED0120210722,0.9195284783443316,0.808899577780255,0.034421726028279774
AKED0120210722,0.7285063217606857,0.7961317278683266,0.8419983275581511
AKED0120210722,0.9038697960584983,0.7917880898877799,0.5368016241373841
AKED0120210722,0.3979469471817504,0.1656849659872517,0.09519192587849179
AKED0120210722,0.05908145819430329,0.0918737035212076,0.2771773706961028
AKED0120210722,0.03674388808036154,6.295519887860112e-05,0.1654737795911967
AKED0120210722,8.431017195768443e-09,4.1417566469051217e-16,5.389675682010641e-07
AKED0120210722,0.34822896160675265,0.8901204352442784,0.2554392084698687
AKED0120210722,8.268568867658498e-06,0.8174455115140038,0.09958649825972465
AKED0120210722,0.6991692813155825,0.24800072164664833,0.01153697009701524
AKED0120210722,0.3189317446414274,0.2624066798755924,0.8822637728916016
AKED0120210722,0.002240184896415631,0.5109050511285593,0.1464773880907283
AKED0120210722,0.07607628000950921,0.3591188719731596,0.8179166924561665
AKED0120210722,0.07362484781218386,0.03978192814065375,0.6911755282043361
AKED0120210722,0.00036404953743933845,9.723247153298665e-05,0.8853082872723393
AKED0120210722,0.436128232937566,0.002193051638004446,0.19137546230904345
AKED0120210722,0.8879693326715684,0.7500861492811557,0.035231386454448683
AKED0120210722,0.00047695547287679804,2.293049145944868e-05,1.3326690624778792e-07
AKED0120210722,0.19645071416991566,0.3427215437518373,0.26740071258565823
AKED0120210722,9.86200293724734e-05,3.922162758649246e-06,0.26207982960716814
