,session,str_name,pfc_name,str_pearsons_r,str_p_value,pfc_pearsons_r,pfc_p_value
45,AKED0520210726,str_21,pfc_48,-0.1206822955512634,0.0140070081661846,0.1723033477782294,0.0004289060598797
46,AKED0220210729,str_5,pfc_24,-0.1835792453512846,0.0013538547611969,-0.1996944509822513,0.0004809341376077
47,AKED0220210801,str_58,pfc_28,-0.1946266350151828,0.0002112896807992,0.2592085047612681,6.607909706304404e-07
48,AKED0220210801,str_0,pfc_20,0.1920152862487278,0.0002577276088875,0.3397109557061452,4.042004127037588e-11
49,AKED0220210801,str_84,pfc_64,0.2747053247197886,1.2817270754539622e-07,-0.2105907568258018,5.925634501450901e-05
50,AKED0220210801,str_84,pfc_60,0.2747053247197886,1.2817270754539622e-07,-0.2304681758581209,1.058568355176598e-05
51,AKED0220210801,str_49,pfc_39,0.1700416380290128,0.0012394703683657,0.1295343460737151,0.014179834389224
52,AKED0220210801,str_49,pfc_84,0.1700416380290128,0.0012394703683657,0.181475423517812,0.0005598390035924
53,AKED0220210801,str_74,pfc_37,0.2126779367692821,4.981695816596873e-05,0.2562539749235892,8.928860618548755e-07
54,AKED0220210801,str_74,pfc_27,0.2126779367692821,4.981695816596873e-05,-0.2166173516113694,3.573742410827861e-05
55,AKED0220210801,str_18,pfc_40,0.4909426130953425,4.089450055896968e-23,0.1275819549692119,0.0157179379302699
56,AKED0220210801,str_83,pfc_12,0.2529878910204179,1.2400834197102143e-06,0.4066571487973013,1.0881454573128737e-15
57,AKED0220210801,str_46,pfc_38,0.1946251337140706,0.0002113139728935,0.2791411442098369,7.8629096553957e-08
58,AKED0220210801,str_63,pfc_40,-0.1399034108630291,0.0080280328972334,0.1275819549692119,0.0157179379302699
59,AKED0220210801,str_73,pfc_0,0.180174512287237,0.0006143200390738,0.2428930787077736,3.3275362509630188e-06
60,AKED0220210801,str_4,pfc_31,0.1830965154622528,0.0004982211817711,-0.4755446994358863,1.3374972995870997e-21
61,AKED0220210801,str_43,pfc_60,-0.1793029234179934,0.000653526698053,-0.2304681758581209,1.058568355176598e-05
62,AKED0220210801,str_20,pfc_17,-0.1767359432542288,0.0007828628419029,0.2084752639235209,7.052793780110447e-05
63,AKED0220210801,str_77,pfc_40,-0.1214719321979062,0.0215141533392287,0.1275819549692119,0.0157179379302699
64,AKED0220210801,str_77,pfc_30,-0.1214719321979062,0.0215141533392287,0.2410213832062818,3.977299207174226e-06
65,AKED0220210801,str_62,pfc_19,0.2250858731685669,1.7139701488246627e-05,0.1161551468327999,0.0279836313124547
66,AKED0620210804,str_91,pfc_74,0.1057826747015794,0.0483093302590892,-0.1512682502564742,0.0046243330066964
67,AKED0620210804,str_74,pfc_34,-0.1456000027074407,0.0064338685140512,-0.163243183219826,0.0022189924193752
68,AKED0620210804,str_44,pfc_86,-0.1559257940102953,0.0034962020069501,-0.2184395324267667,3.8557203035727205e-05
69,AKED0620210804,str_76,pfc_65,-0.1142453367491085,0.0328745163908281,-0.1207615239404076,0.0240593144366894
70,AKED0120210723,str_5,pfc_20,0.1119450541464279,0.0240850120350486,-0.1365833598259919,0.0058419623802544
71,AKED0620210806,str_0,pfc_13,-0.1341151819870664,0.0017352550719808,0.1010111010305454,0.0185527670752025
72,AKED0220210803,str_24,pfc_22,0.2988715503535952,6.964701231501521e-09,0.1790916700436877,0.0006293956244484
73,AKED0220210803,str_16,pfc_20,0.4442264165605153,6.845881235027522e-19,-0.3581560220205177,2.292178613494723e-12
74,AKED0220210803,str_28,pfc_20,-0.3530450217512486,4.904869395072258e-12,-0.3581560220205177,2.292178613494723e-12
75,AKED0120210729,str_1,pfc_22,0.2151129646777231,6.863195406611359e-05,-0.122493822139614,0.0245247413910417
76,AKED0120210722,str_13,pfc_96,0.2799408208336672,1.4729148321617064e-07,-0.166641313097503,0.0020181622954846
77,AKED0120210722,str_0,pfc_6,0.1374659656158013,0.0110464445623732,0.2625271915890251,8.807003543483291e-07
78,AKED0120210722,str_14,pfc_11,0.154428996808006,0.004257703294216,-0.2827420745110214,1.0917573432552761e-07
79,AKED0120210722,str_9,pfc_25,0.2222148934654665,3.468911344091684e-05,0.3465436043775032,4.6769224415116437e-11
80,AKED0120210722,str_9,pfc_95,0.2222148934654665,3.468911344091684e-05,0.2119085818459432,8.024993993208897e-05
81,AKED0120210722,str_9,pfc_84,0.2222148934654665,3.468911344091684e-05,0.123042307232798,0.0230611394007079
82,AKED0120210722,str_5,pfc_52,-0.1703641006158932,0.0015910797944746,0.1582486016813426,0.0033895990817901
83,AKED0120210722,str_5,pfc_11,-0.1703641006158932,0.0015910797944746,-0.2827420745110214,1.0917573432552761e-07
84,AKED0120210722,str_6,pfc_50,0.3026439653852724,1.1810564209490365e-08,0.2734550864143027,2.909423662421267e-07
85,AKED0120210722,str_4,pfc_57,0.1727393961503126,0.0013636810115064,0.2592738719202176,1.213227143610842e-06
86,AKED0220210730,str_49,pfc_31,-0.2632638352727,4.345116226273471e-07,0.1727116871630793,0.0010339555693452
87,AKED0220210730,str_49,pfc_49,-0.2632638352727,4.345116226273471e-07,0.215681352101588,3.86934815689903e-05
88,AKED0220210730,str_36,pfc_13,0.2979837631301249,8.948970706789919e-09,0.2783577060119592,8.577018450496705e-08
89,AKED0220210730,str_51,pfc_34,-0.1548179570043605,0.003316444862791,0.2014037773574028,0.0001246481455935
90,AKED0220210730,str_34,pfc_1,-0.2111140978974059,5.674258208317519e-05,0.2514813005992872,1.4407845429855797e-06
91,AKED0220210730,str_35,pfc_0,0.1375919556178815,0.0091428451696355,-0.1760355601329586,0.0008220512468705
92,AKED0220210730,str_12,pfc_66,0.315604812956302,1.0124721580562542e-09,0.1347736685850434,0.010686812695153
93,AKED0220210730,str_20,pfc_58,0.283477903088717,4.8358161775490014e-08,0.1374725106919789,0.009204022965825
94,AKED0220210730,str_33,pfc_56,0.1487090066503778,0.0048089561565726,0.2537472474954914,1.149364930970677e-06
95,AKED0420210803,str_28,pfc_58,-0.4078009200096206,3.8819720545378466e-21,0.1019332026788432,0.0237512637300113
96,AKED0420210803,str_7,pfc_29,-0.1560484586565889,0.0005131020164889,0.1026985361188466,0.0227148979064591
97,AKED0420210803,str_38,pfc_8,-0.3510897639795217,1.0185870025230545e-15,0.2844630326757156,1.3023909167969075e-10
