session,background_firing_pearson_r,background_firing_p_values,response_firing_pearson_r,response_firing_p_values,cell
AKED0120210721,0.464028565080534,4.8912194873921506e-20,0.4841607028998138,6.5417314254246945e-22,pfc_23
AKED0120210721,0.17634849027170982,0.000937605144533583,0.221753238079402,2.9152587111494138e-05,pfc_24
AKED0120210721,0.18382013760261634,0.0005581472905086202,0.23189620935355082,1.206344440648803e-05,pfc_25
AKED0120210721,-0.06216075674942584,0.24677711852949036,0.023935905091252027,0.6558723096562851,pfc_26
AKED0120210721,-0.1716551931292924,0.0012854620989305936,-0.17977841631539304,0.0007407914178356837,pfc_27
AKED0120210721,-0.11849770168831,0.026857518005046432,-0.19178951964117769,0.00031386598701910043,pfc_28
AKED0120210721,-0.09065180142867474,0.09085153268759272,-0.04840020028943052,0.36733585409731195,pfc_29
AKED0120210721,-0.1624090180660714,0.002339242118452581,-0.15553838369036943,0.003579508956724876,pfc_30
AKED0120210721,0.035234703664131506,0.5117721032874416,0.05496676874649971,0.30585684964936044,pfc_31
AKED0120210721,0.38570701598237006,7.970823818238911e-14,0.5015120759148264,1.254253778752999e-23,pfc_32
AKED0120210721,-0.02711716485182368,0.6136530499403424,-0.02646009505975569,0.6222752917732766,pfc_33
AKED0120210721,,,-0.03840468114337331,0.4745172352295083,pfc_34
AKED0120210721,-0.23551119766337014,8.722793551523035e-06,-0.2744445751942398,1.898510738368781e-07,pfc_35
AKED0120210721,-0.0438583687906885,0.41404525101105083,-0.0720839200177564,0.17909201717251522,pfc_36
AKED0120210721,,,-0.06786362355289245,0.205976292447289,pfc_37
AKED0120210721,-0.023977889453617136,0.6553075411466609,-0.06223766014233656,0.24619186307209262,pfc_38
AKED0120210721,0.2501302514891558,2.2289233355668933e-06,0.3106683323023038,3.0234744523939644e-09,pfc_39
AKED0120210721,0.20464091597280623,0.00011806255092569251,0.25632084316542014,1.21855218046513e-06,pfc_40
AKED0120210721,-0.06479851238110054,0.22725405397825138,-0.06134592157261101,0.2530378826194427,pfc_41
AKED0120210721,-0.2579460263376685,1.0372062239457777e-06,-0.2705040080847378,2.8778129217965153e-07,pfc_42
