leftP,rightP,trial_response_side,trial_reward,cue_time
0.9,0.05,-1.0,1.0,1109.99125
0.9,0.05,,,1121.9312
0.9,0.05,1.0,0.0,1130.03675
0.9,0.05,-1.0,1.0,1133.1732
0.9,0.05,-1.0,1.0,1141.46525
0.9,0.05,1.0,0.0,1144.11405
0.9,0.05,-1.0,1.0,1154.6824
0.9,0.05,-1.0,1.0,1161.39145
0.9,0.05,-1.0,0.0,1163.9978
0.9,0.05,-1.0,1.0,1169.09695
0.9,0.05,-1.0,1.0,1173.75235
0.9,0.05,-1.0,1.0,1178.2492
0.9,0.05,-1.0,1.0,1183.34795
0.9,0.05,-1.0,0.0,1186.0438
0.9,0.05,-1.0,1.0,1188.91195
0.9,0.05,-1.0,1.0,1193.7754
0.9,0.05,-1.0,1.0,1198.05955
0.9,0.05,-1.0,1.0,1200.46435
0.9,0.05,-1.0,1.0,1202.8907
0.9,0.05,-1.0,1.0,1206.09745
0.9,0.05,-1.0,1.0,1209.0081
0.9,0.05,1.0,0.0,1212.9787
0.9,0.05,-1.0,1.0,1216.05805
0.9,0.05,-1.0,1.0,1222.3206
0.9,0.05,-1.0,1.0,1224.75795
0.9,0.05,-1.0,1.0,1228.2266
0.9,0.05,-1.0,0.0,1233.0275
0.9,0.05,-1.0,1.0,1236.0204
0.9,0.05,-1.0,1.0,1239.0026
0.9,0.05,-1.0,1.0,1243.982
0.9,0.05,-1.0,1.0,1246.44305
0.9,0.05,-1.0,1.0,1251.6956
0.9,0.05,-1.0,1.0,1255.6805
0.9,0.05,-1.0,1.0,1258.17475
0.9,0.05,-1.0,1.0,1260.59975
0.9,0.05,-1.0,1.0,1266.9616
0.9,0.05,-1.0,1.0,1271.11235
0.9,0.05,-1.0,1.0,1273.7783
0.9,0.05,-1.0,1.0,1276.0373
0.9,0.05,-1.0,1.0,1282.40705
0.9,0.05,-1.0,0.0,1287.96
0.9,0.05,-1.0,1.0,1291.9214
0.9,0.05,-1.0,1.0,1294.8108
0.9,0.05,-1.0,0.0,1297.13785
0.9,0.05,-1.0,1.0,1299.48205
0.9,0.05,-1.0,1.0,1302.396
0.9,0.05,1.0,1.0,1310.7529
0.9,0.05,-1.0,1.0,1315.26425
0.9,0.05,-1.0,1.0,1318.0623
0.9,0.05,1.0,0.0,1320.24915
0.9,0.05,-1.0,1.0,1323.22735
0.9,0.05,1.0,0.0,1326.13325
0.9,0.05,1.0,0.0,1330.0835
0.9,0.05,,,1341.8337
0.9,0.05,-1.0,1.0,1349.93665
0.9,0.05,1.0,0.0,1352.4954
0.9,0.05,,,1357.1499
0.9,0.05,-1.0,0.0,1365.2511
0.9,0.05,,,1372.1264
0.9,0.05,-1.0,1.0,1381.2422
0.9,0.05,1.0,0.0,1387.17975
0.9,0.05,1.0,0.0,1390.39415
0.9,0.05,1.0,0.0,1392.8298
0.9,0.05,,,1397.146
0.9,0.05,-1.0,1.0,1405.25
0.9,0.05,1.0,0.0,1408.2723
0.9,0.05,,,1412.54095
0.9,0.05,,,1421.1456
0.9,0.05,1.0,0.0,1430.0584
0.9,0.05,1.0,0.0,1432.8332
0.9,0.05,-1.0,1.0,1438.908
0.9,0.05,1.0,0.0,1448.1386
0.9,0.05,1.0,0.0,1452.36605
0.9,0.05,,,1455.3452
0.9,0.05,1.0,0.0,1463.44605
0.9,0.05,,,1466.14045
0.9,0.05,,,1474.24295
0.9,0.05,1.0,0.0,1482.34495
0.9,0.05,1.0,0.0,1491.02255
0.9,0.05,,,1493.9124
0.9,0.05,,,1502.0129
0.9,0.05,,,1510.115
0.9,0.05,1.0,0.0,1518.216
0.9,0.05,-1.0,1.0,1525.3448
0.9,0.05,-1.0,1.0,1527.7891
0.9,0.05,,,1533.18605
0.9,0.05,1.0,0.0,1541.28675
0.0,0.0,,,1544.3925
