leftP,rightP,trial_response_side,trial_reward,cue_time,response_time
0.9,0.05,1.0,0.0,566.09295,
0.9,0.05,1.0,0.0,568.6011,
0.9,0.05,1.0,0.0,571.92465,
0.9,0.05,-1.0,1.0,576.90095,
0.9,0.05,1.0,0.0,579.5155,
0.9,0.05,1.0,0.0,581.8342,
0.9,0.05,1.0,0.0,588.3547,
0.9,0.05,1.0,0.0,591.08085,
0.9,0.05,1.0,0.0,594.1496,
0.9,0.05,1.0,0.0,597.21815,
0.9,0.05,-1.0,1.0,599.56575,
0.9,0.05,1.0,1.0,604.0425,
0.9,0.05,1.0,0.0,607.44045,
0.9,0.05,1.0,0.0,611.4414,
0.9,0.05,1.0,0.0,613.98045,
0.9,0.05,1.0,0.0,617.3951,
0.9,0.05,1.0,0.0,620.364,
0.9,0.05,1.0,0.0,622.80445,
0.9,0.05,1.0,0.0,626.07755,
0.9,0.05,-1.0,1.0,636.5642,
0.9,0.05,-1.0,1.0,639.57095,
0.9,0.05,1.0,0.0,644.241,
0.9,0.05,-1.0,1.0,646.83915,
0.9,0.05,1.0,0.0,651.824,
0.9,0.05,-1.0,0.0,655.90535,
0.9,0.05,-1.0,1.0,658.72885,
0.9,0.05,-1.0,0.0,661.46375,
0.9,0.05,1.0,0.0,664.20885,
0.9,0.05,-1.0,1.0,667.7931,
0.9,0.05,-1.0,1.0,673.3134,
0.9,0.05,-1.0,1.0,679.8327,
0.9,0.05,-1.0,1.0,683.2087,
0.9,0.05,-1.0,1.0,686.74625,
0.9,0.05,-1.0,1.0,690.3027,
0.9,0.05,-1.0,1.0,694.1961,
0.9,0.05,1.0,0.0,696.8924,
0.9,0.05,-1.0,1.0,699.96565,
0.9,0.05,1.0,0.0,702.38855,
0.9,0.05,-1.0,1.0,705.99985,
0.9,0.05,1.0,0.0,708.66815,
0.9,0.05,-1.0,1.0,712.72515,
0.9,0.05,1.0,0.0,721.042,
0.9,0.05,1.0,0.0,725.22815,
0.9,0.05,1.0,0.0,730.1428,
0.9,0.05,1.0,0.0,732.8724,
0.9,0.05,1.0,0.0,738.20795,
0.9,0.05,-1.0,1.0,744.03315,
0.9,0.05,1.0,0.0,750.1635,
0.9,0.05,1.0,1.0,753.15585,
0.9,0.05,1.0,0.0,757.4974,
0.9,0.05,1.0,0.0,761.07665,
0.9,0.05,1.0,0.0,768.05425,
0.9,0.05,1.0,0.0,776.7212,
0.9,0.05,1.0,0.0,780.56135,
0.9,0.05,1.0,0.0,787.49755,
0.9,0.05,1.0,0.0,791.1671,
0.9,0.05,-1.0,1.0,795.3478,
0.9,0.05,1.0,0.0,799.20745,
0.9,0.05,1.0,0.0,803.7032,
0.9,0.05,-1.0,1.0,811.64925,
0.9,0.05,1.0,0.0,814.61745,
0.9,0.05,1.0,0.0,817.79085,
0.9,0.05,1.0,0.0,826.0579,
0.9,0.05,1.0,0.0,833.74105,
0.9,0.05,1.0,0.0,836.86455,
0.9,0.05,,,843.27975,
0.9,0.05,1.0,0.0,851.39475,
0.9,0.05,-1.0,1.0,854.42165,
0.9,0.05,1.0,0.0,856.9644,
0.9,0.05,1.0,0.0,859.8366,
0.9,0.05,1.0,0.0,867.74915,
0.9,0.05,-1.0,1.0,871.85515,
0.9,0.05,1.0,0.0,877.50565,
0.9,0.05,-1.0,1.0,881.88305,
0.9,0.05,-1.0,1.0,887.5319,
0.9,0.05,1.0,0.0,890.57015,
0.9,0.05,-1.0,1.0,894.0454,
0.9,0.05,-1.0,1.0,900.4254,
0.9,0.05,1.0,0.0,903.51965,
0.9,0.05,1.0,0.0,906.9265,
0.9,0.05,1.0,0.0,911.64625,
0.9,0.05,1.0,0.0,916.49195,
0.9,0.05,1.0,0.0,920.54995,
0.9,0.05,1.0,0.0,927.33905,
0.9,0.05,1.0,0.0,932.08015,
0.9,0.05,,,936.6578,
0.9,0.05,,,944.75985,
0.9,0.05,1.0,1.0,952.862,
0.9,0.05,-1.0,1.0,957.5874,
0.9,0.05,-1.0,1.0,960.53795,
0.9,0.05,1.0,0.0,964.203,
0.9,0.05,-1.0,1.0,967.11875,
0.9,0.05,1.0,0.0,973.5213,
0.9,0.05,-1.0,1.0,977.1514,
0.9,0.05,-1.0,1.0,979.96035,
0.9,0.05,-1.0,0.0,984.25965,
0.9,0.05,1.0,0.0,987.16585,
0.9,0.05,-1.0,1.0,993.9659,
0.9,0.05,1.0,0.0,996.81885,
0.9,0.05,1.0,0.0,999.51745,
0.9,0.05,1.0,0.0,1006.673,
0.9,0.05,1.0,0.0,1015.46215,
0.9,0.05,-1.0,1.0,1023.19715,
0.9,0.05,-1.0,1.0,1027.4895,
0.9,0.05,1.0,0.0,1030.0984,
0.9,0.05,-1.0,1.0,1033.7835,
0.9,0.05,1.0,1.0,1039.7187,
0.9,0.05,1.0,0.0,1043.60115,
0.9,0.05,-1.0,1.0,1047.0238,
0.9,0.05,-1.0,0.0,1049.72065,
0.9,0.05,1.0,0.0,1054.00095,
0.9,0.05,1.0,0.0,1060.35675,
0.9,0.05,1.0,0.0,1072.1039,
0.9,0.05,-1.0,1.0,1074.5239,
0.9,0.05,1.0,0.0,1087.19465,
0.9,0.05,1.0,0.0,1091.22185,
0.9,0.05,-1.0,1.0,1095.50175,
0.9,0.05,-1.0,1.0,1103.68915,
0.9,0.05,1.0,0.0,1113.89275,
0.9,0.05,1.0,0.0,1117.5736,
0.9,0.05,,,1121.99415,
0.9,0.05,1.0,0.0,1130.0962,
0.9,0.05,1.0,0.0,1132.53215,
0.9,0.05,,,1137.17865,
0.9,0.05,1.0,0.0,1145.28505,
0.9,0.05,,,1153.1509,
0.9,0.05,1.0,0.0,1161.252,
0.9,0.05,1.0,0.0,1166.6524,
0.9,0.05,1.0,0.0,1172.4128,
0.9,0.05,-1.0,1.0,1175.8305,
0.9,0.05,1.0,0.0,1180.35235,
0.9,0.05,1.0,0.0,1183.25435,
0.9,0.05,1.0,0.0,1189.58175,
0.9,0.05,,,1197.00215,
0.9,0.05,1.0,0.0,1205.10375,
0.9,0.05,1.0,0.0,1209.4659,
0.9,0.05,1.0,0.0,1216.95465,
0.9,0.05,-1.0,0.0,1221.0095,
0.9,0.05,1.0,0.0,1224.12905,
0.9,0.05,1.0,0.0,1228.6193,
0.9,0.05,1.0,0.0,1235.48075,
0.9,0.05,1.0,0.0,1238.5055,
0.9,0.05,,,1241.04365,
0.9,0.05,1.0,0.0,1249.8178,
0.9,0.05,1.0,0.0,1259.0205,
0.9,0.05,1.0,0.0,1268.72125,
0.9,0.05,-1.0,1.0,1272.7053,
0.9,0.05,-1.0,1.0,1278.90375,
0.9,0.05,-1.0,1.0,1282.0711,
0.9,0.05,-1.0,1.0,1284.79345,
0.9,0.05,-1.0,0.0,1290.84105,
0.9,0.05,-1.0,1.0,1293.64745,
0.9,0.05,-1.0,1.0,1296.8195,
0.9,0.05,,,1302.11815,
0.9,0.05,1.0,0.0,1310.2237,
0.9,0.05,,,1312.6352,
0.9,0.05,1.0,0.0,1320.73725,
0.9,0.05,,,1327.98565,
0.9,0.05,-1.0,1.0,1336.08965,
0.9,0.05,1.0,0.0,1339.7955,
0.9,0.05,1.0,0.0,1343.0502,
0.9,0.05,-1.0,1.0,1351.7875,
0.9,0.05,-1.0,1.0,1355.81875,
0.9,0.05,-1.0,1.0,1360.19755,
0.9,0.05,-1.0,1.0,1363.86355,
0.9,0.05,1.0,1.0,1369.779,
0.9,0.05,-1.0,1.0,1378.08515,
0.9,0.05,-1.0,1.0,1384.87235,
0.9,0.05,1.0,0.0,1388.11435,
0.9,0.05,,,1392.67405,
0.9,0.05,,,1400.7765,
0.9,0.05,-1.0,1.0,1408.8786,
0.9,0.05,-1.0,1.0,1416.61855,
0.9,0.05,1.0,0.0,1419.3541,
0.9,0.05,-1.0,1.0,1422.12915,
0.9,0.05,-1.0,1.0,1429.1172,
0.9,0.05,-1.0,1.0,1432.38515,
0.9,0.05,-1.0,1.0,1434.7468,
0.9,0.05,,,1440.58845,
0.9,0.05,,,1449.8259,
0.9,0.05,-1.0,0.0,1458.997,
0.9,0.05,,,1465.99915,
0.9,0.05,-1.0,0.0,1474.10275,
0.9,0.05,-1.0,1.0,1483.59,
0.9,0.05,-1.0,1.0,1491.34195,
0.9,0.05,1.0,0.0,1494.22425,
0.9,0.05,-1.0,1.0,1496.92605,
0.05,0.8,-1.0,0.0,1502.7246,
0.05,0.8,-1.0,0.0,1506.2976,
0.05,0.8,-1.0,0.0,1513.88805,
0.05,0.8,-1.0,0.0,1518.1844,
0.05,0.8,,,1526.1109,
0.05,0.8,-1.0,0.0,1534.2129,
0.05,0.8,-1.0,1.0,1539.5285,
0.05,0.8,-1.0,0.0,1547.7463,
0.05,0.8,1.0,1.0,1551.6996,
0.05,0.8,1.0,1.0,1556.3853,
0.05,0.8,-1.0,0.0,1559.58485,
0.05,0.8,-1.0,0.0,1563.93715,
0.05,0.8,,,1569.40405,
0.05,0.8,-1.0,0.0,1578.2246,
0.05,0.8,-1.0,0.0,1583.1642,
0.05,0.8,-1.0,0.0,1590.1508,
0.05,0.8,-1.0,0.0,1598.2145,
0.05,0.8,1.0,1.0,1601.91655,
0.05,0.8,-1.0,0.0,1608.6052,
0.05,0.8,-1.0,0.0,1611.6457,
0.05,0.8,,,1617.26,
0.05,0.8,-1.0,0.0,1625.3611,
0.05,0.8,1.0,1.0,1629.7329,
0.05,0.8,-1.0,0.0,1635.0109,
0.05,0.8,-1.0,0.0,1638.846,
0.05,0.8,-1.0,0.0,1644.2264,
0.05,0.8,,,1653.2475,
0.05,0.8,1.0,0.0,1661.34525,
0.05,0.8,-1.0,0.0,1669.13215,
0.05,0.8,-1.0,0.0,1676.44425,
0.05,0.8,-1.0,0.0,1682.9656,
0.05,0.8,-1.0,0.0,1685.787,
0.05,0.8,,,1695.7579,
0.05,0.8,1.0,1.0,1703.8631,
0.05,0.8,1.0,1.0,1707.0252,
0.05,0.8,-1.0,0.0,1710.48135,
0.05,0.8,-1.0,0.0,1713.6863,
0.05,0.8,-1.0,1.0,1717.6824,
0.05,0.8,-1.0,0.0,1721.7414,
0.05,0.8,,,1725.3257,
0.05,0.8,1.0,1.0,1733.4283,
0.05,0.8,-1.0,0.0,1737.25695,
0.05,0.8,1.0,1.0,1744.6688,
0.05,0.8,-1.0,0.0,1748.8883,
0.05,0.8,1.0,0.0,1756.08585,
0.05,0.8,,,1762.8297,
0.05,0.8,1.0,1.0,1770.93275,
0.05,0.8,1.0,1.0,1774.76995,
0.05,0.8,1.0,1.0,1777.5271,
0.05,0.8,-1.0,0.0,1782.21395,
0.05,0.8,,,1786.9492,
0.05,0.8,1.0,0.0,1795.05375,
0.05,0.8,1.0,0.0,1799.45035,
0.05,0.8,1.0,1.0,1805.218,
0.05,0.8,-1.0,0.0,1810.0918,
0.05,0.8,,,1817.4827,
0.05,0.8,-1.0,0.0,1825.58615,
0.05,0.8,,,1831.0764,
0.05,0.8,1.0,1.0,1839.77665,
0.05,0.8,-1.0,0.0,1844.3551,
0.05,0.8,-1.0,0.0,1847.804,
0.05,0.8,-1.0,0.0,1852.95605,
0.05,0.8,-1.0,0.0,1859.72235,
0.05,0.8,-1.0,0.0,1863.33485,
0.05,0.8,-1.0,0.0,1868.73405,
0.05,0.8,-1.0,0.0,1873.24285,
0.05,0.8,1.0,1.0,1876.27455,
0.05,0.8,1.0,1.0,1879.3055,
0.05,0.8,1.0,1.0,1883.67075,
0.05,0.8,-1.0,0.0,1887.0805,
0.05,0.8,-1.0,0.0,1891.0373,
0.05,0.8,,,1894.57425,
0.05,0.8,-1.0,0.0,1903.4293,
0.05,0.8,-1.0,1.0,1908.61125,
0.05,0.8,,,1912.61205,
0.05,0.8,1.0,1.0,1920.7201,
0.05,0.8,,,1925.2508,
0.05,0.8,-1.0,0.0,1933.3809,
0.05,0.8,1.0,1.0,1937.06675,
0.05,0.8,-1.0,0.0,1942.71075,
0.05,0.8,,,1945.65465,
0.05,0.8,-1.0,0.0,1953.76165,
0.05,0.8,-1.0,0.0,1958.6993,
0.05,0.8,-1.0,0.0,1967.8282,
0.05,0.8,-1.0,0.0,1976.55755,
0.05,0.8,-1.0,0.0,1982.3723,
0.05,0.8,,,1988.2015,
0.05,0.8,1.0,1.0,1996.30565,
0.05,0.8,1.0,1.0,1999.39945,
0.05,0.8,-1.0,0.0,2004.8905,
0.05,0.8,,,2009.3682,
0.05,0.8,1.0,1.0,2017.47115,
0.05,0.8,-1.0,0.0,2023.8814,
0.05,0.8,-1.0,0.0,2026.88325,
0.05,0.8,,,2036.0995,
0.05,0.8,,,2044.2015,
0.05,0.8,-1.0,0.0,2052.30475,
0.05,0.8,,,2056.62875,
0.05,0.8,1.0,1.0,2065.48795,
0.05,0.8,1.0,1.0,2069.19965,
0.05,0.8,-1.0,0.0,2073.37935,
0.05,0.8,,,2077.5341,
0.05,0.8,-1.0,0.0,2085.63715,
0.05,0.8,,,2090.0941,
0.05,0.8,,,2098.20175,
0.05,0.8,1.0,1.0,2106.30275,
0.05,0.8,-1.0,0.0,2108.69695,
0.05,0.8,-1.0,0.0,2114.6508,
0.05,0.8,-1.0,0.0,2117.44635,
0.05,0.8,,,2121.75165,
0.05,0.8,1.0,0.0,2129.8549,
0.05,0.8,,,2134.84335,
0.05,0.8,,,2142.9454,
0.05,0.8,1.0,1.0,2152.2356,
0.05,0.8,,,2161.2014,
0.05,0.8,-1.0,0.0,2169.30515,
0.05,0.8,1.0,1.0,2178.2395,
0.05,0.8,1.0,1.0,2185.365,
0.05,0.8,1.0,1.0,2189.9103,
0.05,0.8,-1.0,0.0,2193.6411,
0.05,0.8,-1.0,0.0,2199.8157,
0.05,0.8,-1.0,0.0,2206.07265,
0.05,0.8,1.0,0.0,2213.53875,
0.05,0.8,,,2216.124,
0.05,0.8,,,2224.2267,
0.05,0.8,,,2232.32875,
0.05,0.8,-1.0,0.0,2240.4299,
0.05,0.8,,,2244.61155,
0.05,0.8,,,2252.7136,
0.05,0.8,-1.0,0.0,2260.8156,
0.05,0.8,,,2264.17715,
0.05,0.8,,,2272.32055,
0.05,0.8,,,2280.42755,
0.05,0.8,1.0,1.0,2288.53045,
0.05,0.8,1.0,1.0,2294.22505,
0.05,0.8,1.0,0.0,2299.6681,
0.05,0.8,1.0,1.0,2302.94225,
0.05,0.8,1.0,1.0,2305.94335,
0.05,0.8,1.0,0.0,2309.8982,
0.05,0.8,,,2316.2145,
0.05,0.8,1.0,0.0,2328.10285,
0.05,0.8,,,2335.06945,
0.05,0.8,-1.0,0.0,2343.17045,
0.05,0.8,,,2346.7665,
0.05,0.8,1.0,1.0,2354.8663,
0.05,0.8,1.0,1.0,2358.1825,
0.05,0.8,-1.0,0.0,2363.5455,
0.05,0.8,1.0,1.0,2366.5237,
0.05,0.8,1.0,0.0,2371.6607,
0.05,0.8,-1.0,0.0,2375.92285,
0.05,0.8,,,2379.20255,
0.05,0.8,1.0,0.0,2387.3036,
0.05,0.8,1.0,0.0,2394.3418,
0.05,0.8,,,2401.98295,
0.05,0.8,1.0,1.0,2410.08595,
0.05,0.8,-1.0,0.0,2416.71925,
0.05,0.8,,,2420.1659,
0.05,0.8,-1.0,0.0,2428.26745,
0.05,0.8,1.0,1.0,2434.4453,
0.05,0.8,-1.0,0.0,2443.00215,
0.05,0.8,-1.0,0.0,2449.72655,
0.05,0.8,,,2455.24955,
0.05,0.8,,,2463.3517,
0.05,0.8,1.0,1.0,2471.4602,
0.05,0.8,,,2474.2452,
0.05,0.8,1.0,1.0,2483.3082,
0.05,0.8,,,2486.05445,
0.05,0.8,,,2494.1564,
0.05,0.8,1.0,1.0,2502.25935,
0.05,0.8,1.0,1.0,2506.4895,
0.05,0.8,1.0,1.0,2513.0162,
0.05,0.8,1.0,1.0,2520.5468,
0.05,0.8,1.0,1.0,2529.62315,
0.05,0.8,,,2534.4804,
0.05,0.8,-1.0,0.0,2543.8171,
0.05,0.8,1.0,1.0,2553.33025,
0.05,0.8,-1.0,0.0,2557.54695,
0.05,0.8,1.0,1.0,2561.10155,
0.05,0.8,-1.0,0.0,2568.41285,
0.05,0.8,,,2574.15205,
0.05,0.8,,,2582.25505,
0.05,0.8,-1.0,1.0,2590.36175,
0.05,0.8,1.0,1.0,2596.05735,
0.05,0.8,,,2602.73115,
0.05,0.8,,,2610.83425,
0.05,0.8,1.0,1.0,2618.93725,
0.05,0.8,,,2626.3597,
0.05,0.8,,,2634.4635,
0.05,0.8,,,2642.56545,
0.05,0.8,1.0,1.0,2650.66855,
